Organization Name,Website Link,Category,Brief Description,Address,
Ombudsman Services of San Mateo County,Inc. (OSSMC),ossmc.org,Senior Advocacy / Long-Term Care,Protects the rights of residents in long-term care facilities.,"1710 S Amphlett Blvd #219, San Mateo, CA 94402"
The Big Lift,thebigli .org,Education / Early Literacy,Helps San Mateo County students achieve reading proficiency by the end of third grade.,"(An initiative of Silicon Valley Community Foundation and San Mateo County Office of Education) c/o SMC Office of Education, 101 Twin Dolphin Dr, Redwood City, CA 94065",
San Mateo County Sheriff's Activities League (SAL),sheriffsactivitiesleague.com,Youth Development / Community Relations,"Invests in youth by creating opportunities and fostering relationships between deputies, youth, and community.","330 Main St, Redwood City, CA 94063",
Friends for Youth,Inc.,friendsforyouth.org,Youth Development / Mentoring,Empowers young people and inspires community connection through mentoring programs.,"1741 Broadway St, Redwood City, CA 94063"
Dreams33,dreams33.org,Youth Support (Foster Care) / Education,Clears barriers for youth impacted by foster care pursuing higher education.,"(Primarily online/programmatic, physical address not central to operations, supports CA youth)",
Build Up San Mateo County (4Cs initiative),sanmateo4cs.org/our-community-2/build-up/,Child Care / Facilities Development,Focuses on the development and sustainability of child care and preschool facilities.,"(Initiative of 4Cs) 210A Twin Dolphin Dr, Redwood City, CA 94065",
Footsteps Child Care,Inc.,footstepschildcare.org,Child Care / Early Childhood Education,"Provides quality programs for infants, children, youth, and their families in a safe, nurturing environment.","Multiple locations in San Mateo County (e.g., San Mateo, Burlingame)"
The Institute for Families and Nannies (TIFFAN),tiffan.org,Child Care / Workforce Development,Empowers individuals with tools and knowledge to excel in the childcare market.,"(Partners with San Mateo County Office of Education) 101 Twin Dolphin Dr, Redwood City, CA 94065",
JobTrain,jobtrainworks.org,Workforce Development / Career Training,"Transforms lives by preparing individuals for successful, sustainable careers in high-demand fields.","1200 O'Brien Dr, Menlo Park, CA 94025",
Upward Scholars,upwardscholars.org,Education / Immigrant Support / Career Development,"Provides financial, academic, career development, and holistic support to low-income adult immigrants.","Cañada College, 4200 Farm Hill Blvd, Building 9, Room 257A, Redwood City, CA 94061",
The Tech Interactive,thetech.org,STEM Education / Innovation,Empowers people to innovate with creativity and curiosity through hands-on activities.,"201 S Market St, San Jose, CA 95113 (Serves Bay Area)",
San Jose Taiko Group,taiko.org,Arts & Culture / Cultural Education,"Creates innovative performances, empowering diverse voices, and connecting across cultures through taiko drumming.","111 E Gish Rd, San Jose, CA 95112 (Serves Bay Area)",
Housing Leadership Council of San Mateo County (HLC),hlcsmc.org,Housing Advocacy / Tenants' Rights,Advocates for more affordable housing and provides resources for tenants' rights.,"295 Kearney St, San Francisco, CA 94108 (Mailing); Operates in San Mateo County",
Non-Profit Housing Association of Northern California (NPH),N/A,Housing Advocacy / Policy,Advocates for affordable housing policies and educates the public.,"369 Pine St #350, San Francisco, CA 94104 (Regional, serves San Mateo County)",
Urban Habitat Program,urbanhabitat.org,Housing Advocacy / Equity,Advances equitable housing policies and supports the San Mateo Anti-Displacement Coalition.,"1212 Broadway Plaza #500, Oakland, CA 94612 (Serves Bay Area including San Mateo County)",
Pie Ranch,pieranch.org,Sustainable Agriculture / Food Education,Cultivates a healthy and just food system from seed to table.,"2080 Cabrillo Hwy, Pescadero, CA 94060",
Negus in Nature,negusinnature.com,Environmental Equity / Outdoor Access,Connects Black people to the joy of being outdoors.,"(Oakland based, organizes events in various Bay Area locations including San Mateo County)",
San Mateo Arboretum Society Inc.,sanmateoarboretum.org,Horticultural Education / Community Greening,Dedicated to horticultural education and maintaining the rose garden in Central Park.,"Central Park, 50 E 5th Ave, San Mateo, CA 94401 (Location of Arboretum)",
211 Bay Area,211bayarea.org,Community Resource Navigation,Connects residents with thousands of health and human services.,"(Helpline, not a physical service center for walk-ins; operated by United Way Bay Area)",
United Way Bay Area (UWBA),uwba.org,Poverty Alleviation / Community Support,Fights poverty and builds a more equitable Bay Area.,"100 Montgomery Street, Suite 800, San Francisco, CA 94104 (Regional, serves San Mateo County)",
Center for Nonprofit Excellence San Mateo County (CEN),cen.org,Nonprofit Sector Support / Professional Development,Engages and supports nonprofit professionals through learning and community-building.,"(Now part of Thrive Alliance) Sobrato Center for Nonprofits - Redwood Shores, 350 Twin Dolphin Drive, Suite 123, Redwood City, CA 94065",
The Peninsula Family Advocacy Program (FAP),legalaidsmc.org/fap-program,Legal Services / Health & Family Support,"A medical-legal partnership providing free legal services to children, pregnant women, and families.","(Program of Legal Aid Society of San Mateo County) 1048 El Camino Real # A, Redwood City, CA 94063",
The Multicultural Institute,mionline.org,Immigrant Support / Workforce Integration,Supports immigrants in their transition from poverty and isolation to workforce participation and prosperity.,"2020 Milvia St #407, Berkeley, CA 94704 (Serves Bay Area, may have local partnerships)",
Unitarian Universalist Church of San Mateo (UUSM),uusanmateo.org,Spirituality / Social Justice,"Creates spirituality and community beyond boundaries, working towards justice and love.","300 E Santa Inez Ave, San Mateo, CA 94401",
Unitedly,unitedly.org,Asian Community Support / Equity,"Identifies and addresses systemic inequities for Asian residents, ensuring access to social services and resources.","(Focuses on San Mateo County, specific office address not prominent, program-based)",
Peninsula Solidarity Cohort,pscohort.org,Faith-Based Community Leadership / Social Justice,Diverse coalition of faith leaders aiming to be a compassionate moral compass for San Mateo County.,"(Coalition of leaders, not a single physical office)",
Social Focus (Peninsula 360 Press),socialfocusmedia.org,Media / Social Justice / Immigrant Voices,"Amplifies the voices of migrant communities around social justice, health, culture, and the environment.","PO BOX 2481, Redwood City, CA 94064 (Mailing)",
Regional Tenant Organizing Network (RTO),rtonetwork.org,Tenant Rights / Housing Advocacy,Builds tenant power by bringing together local organizing efforts to fight for tenant rights.,"(Network, operates across Bay Area including San Mateo County)",
Sankofa Roots,sankofaroots.org,Environmental Equity / Cultural Healing / Outdoor Access,"Land-based learning and healing organization connecting Black, Indigenous, and Queer communities with outdoor experiences.",(Organizes events in various Bay Area locations including San Mateo County),
Tha Hood Squad,thahoodsquad.com,Arts / Social Change / Community Health,"Art collective focused on social change, health, and safety of neighborhoods.","(Based in East Palo Alto, specific public address not listed)",
Islamic Networks Group (ING),ing.org,Interfaith Relations / Education,Promotes peace by fostering a deeper understanding of Muslims and other marginalized groups.,"3031 Tisch Way #950, San Jose, CA 95128 (Serves Bay Area)",
North American Islamic Shelter for the Abused (NISA),asknisa.org,Domestic Violence Support (Muslim Community),Alleviates challenges related to abuse and domestic violence in the Muslim community.,"PO Box 116104, Carrollton, TX 75011 (National, provides remote services/referrals to San Mateo County)",
Korean American Community Services,Inc. (KACS),kacssv.org,Social Services / Immigrant Support (Korean Community),"Provides counseling, workshops, and assistance for low-income seniors and families.","3550 Stevens Creek Blvd #350, San Jose, CA 95117 (Serves Silicon Valley including San Mateo County)"
Faith in Action Bay Area,faithinactionba.org,Faith-Based Community Organizing / Social Justice,Network of congregations and community leaders working to uphold the dignity of all people.,"1300 Florida Ave, San Francisco, CA 94110 (Regional, serves San Mateo County)",
Renaissance Entrepreneurship Center,rencenter.org,Entrepreneurship Support / Economic Development,Transforms lives and communities through entrepreneurship.,"Renaissance Mid-Peninsula: 1848 Bay Rd, East Palo Alto, CA 94303",
Project PEARLS USA,projectpearls.org,Poverty Alleviation (International) / Child Welfare,"Works to break the cycle of poverty by providing food, education, and empowerment to vulnerable communities in the Philippines.","PO Box 4352, Antioch, CA 94531 (US based for support of Philippines operations)",
